matchId,date,patch,durationMin,champion,position,win,kills,deaths,assists,kda,cs,csPerMin,goldPerMin,dmgPerMin,teamDmgPct,killParticipation,visionPerMin,controlWards,soloKills,timeDeadSec,deadPct,laneMinions10,laneGoldExpAdv,earlyLaneAdv,maxCsAdvOpp,visionAdvOpp,goldDiff10,csDiff10,xpDiff10,goldDiff14,csDiff14,xpDiff14,firstTowerKilledTime,turretPlates,doubleKills,tripleKills,quadraKills,pentaKills,surrenderEnd,earlySurrender
NA1_5058699971,1721799438,14.14,25.6,Brand,BOTTOM,1,8,3,11,6.33,160,6.25,460.8,1481.3,24.4,39.6,0.95,2,1,105,6.8,59,1,1,34,0.4,1392,7,854,987,11,1278,856.0,3,2,0,0,0,0,0
NA1_5058755132,1721801408,14.14,26.4,Caitlyn,BOTTOM,1,10,7,15,3.57,157,5.95,493.8,912.7,16.9,41.7,0.53,1,1,120,7.6,48,0,0,5,0.08,-356,-16,-280,372,-9,146,714.0,1,2,0,0,0,1,0
NA1_5062398054,1721975128,14.14,25.7,Ashe,BOTTOM,1,9,4,13,5.5,209,8.14,502.6,1005.5,24.3,56.4,0.77,1,1,68,4.4,65,0,0,46,-0.14,879,10,588,320,10,712,893.0,2,1,0,0,0,0,0
NA1_5064098057,1722066918,14.14,47.1,Caitlyn,BOTTOM,0,16,11,15,2.82,333,7.06,495.5,1473.0,30.2,53.4,0.96,1,1,333,11.8,57,0,0,21.4,0.19,-1616,-7,3,-1702,-9,-147,888.0,1,3,0,0,0,0,0
NA1_5064140125,1722070359,14.14,27.2,Caitlyn,BOTTOM,1,7,5,10,3.4,200,7.36,482.2,731.9,18.1,47.2,0.97,2,0,114,7.0,68,0,0,20.0,0.0,322,1,296,1110,9,195,833.0,4,1,0,0,0,0,0
NA1_5065690599,1722154684,14.14,30.0,Caitlyn,BOTTOM,1,12,8,4,2,199,6.63,492.7,941.3,28.3,57.1,0.7,1,2,176,9.8,54,0,0,3,-0.21,201,6,123,-1902,-2,-945,0,0,1,0,0,0,0,0
NA1_5067088327,1722230457,14.14,27.6,Caitlyn,BOTTOM,1,13,6,6,3.17,184,6.65,532.6,1025.2,21.3,43.2,1.25,1,0,136,8.2,60,0,0,47.2,1.23,121,21,-43,1824,16,243,735.0,4,3,1,0,0,0,0
NA1_5067130597,1722232476,14.14,29.4,Caitlyn,BOTTOM,0,8,9,7,1.67,178,6.05,407.6,1083.9,21.0,40.5,0.69,1,0,263,14.9,58,0,0,26,0.42,800,12,68,712,19,314,0,3,2,0,0,0,0,0
NA1_5067179254,1722235082,14.14,24.4,Caitlyn,BOTTOM,1,7,5,12,3.8,162,6.64,455.9,796.2,15.4,41.3,0.63,1,0,138,9.4,54,1,0,21.0,-0.32,1382,-1,402,2123,5,1048,822.0,4,1,0,0,0,0,0
NA1_5068471188,1722318070,14.14,26.9,Caitlyn,BOTTOM,0,2,10,1,0.3,173,6.44,325.1,490.3,15.4,14.3,0.82,1,0,179,11.1,45,0,0,1,-0.03,-1911,-32,-1175,-2966,-42,-2093,0,0,0,0,0,0,0,0
NA1_5068506261,1722319964,14.14,24.6,Ashe,BOTTOM,0,1,8,1,0.25,156,6.33,297.3,402.6,16.8,13.3,0.7,1,0,183,12.4,34,0,0,4,0.15,-391,-21,-797,-527,-25,-661,0,0,0,0,0,0,0,0
NA1_5068565959,1722323626,14.14,30.5,Caitlyn,BOTTOM,0,2,10,5,0.7,189,6.2,333.7,410.4,11.8,33.3,1.03,1,0,245,13.4,62,0,0,17,0.78,-341,8,-154,-1033,-5,-573,927.0,0,0,0,0,0,0,0
NA1_5071006813,1722492016,14.15,30.5,Caitlyn,BOTTOM,1,8,3,6,4.67,179,5.88,415.8,860.2,20.7,41.2,0.59,2,0,48,2.6,52,0,0,4,-0.26,-326,-5,222,-281,-10,509,0,1,1,0,0,0,0,0
NA1_5071760686,1722558883,14.15,22.2,Ashe,BOTTOM,0,0,6,3,0.5,139,6.25,275.5,345.6,15.7,27.3,0.6,0,0,96,7.2,45,0,0,0,-0.14,-2074,-31,-534,-2280,-38,-226,0,0,0,0,0,0,1,0
NA1_5077227390,1722922165,14.15,28.1,Caitlyn,BOTTOM,1,15,2,6,10.5,191,6.79,515.5,1073.8,25.1,50.0,0.7,2,2,66,3.9,61,1,0,12,-0.19,700,6,351,994,11,1086,901.0,1,2,1,0,0,0,0
NA1_5077269583,1722924990,14.15,31.3,Caitlyn,BOTTOM,1,7,4,12,4.75,218,6.96,470.3,1054.3,30.2,54.3,0.81,1,0,154,8.2,59,0,0,14,0.7,141,-2,137,817,5,373,0,3,1,0,0,0,0,0
NA1_5078239860,1723003845,14.15,27.6,Caitlyn,BOTTOM,1,5,2,11,8,207,7.49,432.7,908.3,27.2,53.3,1.24,2,0,65,3.9,68,0,0,6.8,1.05,-912,-3,181,-769,-9,221,806.0,1,1,0,0,0,0,0
NA1_5078273710,1723005898,14.15,30.4,Caitlyn,BOTTOM,1,18,5,12,6,201,6.62,547.5,1651.1,32.6,65.2,0.8,2,1,115,6.3,60,0,0,39.8,1.06,47,8,153,659,13,798,0,3,3,0,0,0,0,0
NA1_5078329062,1723008653,14.15,26.0,Caitlyn,BOTTOM,1,10,3,8,6,166,6.38,473.1,901.9,23.0,47.4,0.54,2,1,70,4.5,50,0,0,0,-0.27,47,-13,-96,564,-8,184,925.0,3,1,0,0,0,0,0
NA1_5078364953,1723010974,14.15,27.7,Caitlyn,BOTTOM,0,3,8,1,0.5,196,7.08,373.0,610.3,23.5,30.8,0.69,1,0,161,9.7,55,0,0,27,-0.47,-10,0,175,-1195,9,-431,0,3,0,0,0,0,0,0
NA1_5082191959,1723342859,14.15,43.6,Caitlyn,BOTTOM,1,15,10,7,2.2,300,6.88,450.3,1007.7,22.3,37.9,0.65,1,1,331,12.7,51,0,0,0,-0.14,-874,-22,33,-318,-23,261,0,2,2,0,0,0,0,0
NA1_5082248459,1723346068,14.15,2.5,Jhin,BOTTOM,0,0,0,0,0,2,0.81,250.4,0,0,0,0.25,0,0,0,0.0,2,0,0,0,0,,,,,,,0,0,0,0,0,0,0,1
NA1_5082265057,1723346686,14.15,30.4,Caitlyn,BOTTOM,0,10,6,5,2.5,246,8.08,474.5,1147.1,33.2,60.0,0.71,1,0,147,8.1,69,0,0,58,-0.25,129,2,-149,1423,13,544,0,4,2,0,0,0,0,0
NA1_5082313930,1723348934,14.15,40.5,Caitlyn,BOTTOM,0,6,11,3,0.82,289,7.14,420.3,822.7,17.1,42.9,0.78,2,0,378,15.6,59,0,0,70.4,-0.13,128,7,-71,281,16,88,0,1,1,1,0,0,0,0
NA1_5083398575,1723434914,14.15,27.5,Caitlyn,BOTTOM,1,10,1,7,17,229,8.33,514.4,659.4,18.9,45.9,0.78,1,0,43,2.6,64,0,0,36,0.29,967,2,157,1255,29,879,946.0,2,2,0,0,0,0,0
NA1_5083452838,1723437580,14.15,20.0,Caitlyn,BOTTOM,0,0,3,0,0,152,7.61,297.5,421.2,22.9,0,0.57,0,0,55,4.6,56,0,0,7,-0.0,-727,0,206,-1101,5,181,0,0,0,0,0,0,1,0
NA1_5084402202,1723524117,14.15,37.9,Ashe,BOTTOM,0,5,7,11,2.29,258,6.81,388.0,617.3,16.4,51.6,0.63,1,1,258,11.4,60,0,1,31.2,0.39,511,2,338,104,7,586,0,0,1,0,0,0,0,0
NA1_5084448139,1723526933,14.15,23.3,Caitlyn,BOTTOM,0,2,6,3,0.83,168,7.21,333.7,413.5,15.8,33.3,0.75,1,0,118,8.4,59,0,0,6,1.34,-886,-7,-241,-913,-14,-464,0,1,0,0,0,0,1,0
NA1_5084476913,1723528901,14.15,43.4,Caitlyn,BOTTOM,0,5,12,5,0.83,289,6.66,376.8,861.9,19.6,29.4,0.51,0,2,391,15.0,64,0,0,24,0.46,-279,7,-522,-415,3,-169,974.0,0,0,0,0,0,1,0
NA1_5085360100,1723611918,14.15,29.9,Caitlyn,BOTTOM,1,2,2,2,2,232,7.76,373.2,268.7,9.7,14.8,0.89,1,0,70,3.9,60,0,0,0,0.25,-634,-19,-533,-1285,-33,-897,0,0,0,0,0,0,0,0
NA1_5085394926,1723614265,14.15,31.9,Caitlyn,BOTTOM,0,1,10,2,0.3,212,6.65,296.0,523.4,20.0,23.1,0.54,1,0,289,15.1,68,0,0,28,-0.52,-468,35,284,-1070,29,125,0,0,0,0,0,0,0,0
NA1_5086222576,1723696375,14.16,25.8,Caitlyn,BOTTOM,0,4,7,3,1,175,6.78,391.6,668.4,20.5,35.0,0.51,0,1,146,9.4,51,0,0,25,-0.18,-492,-6,337,-1342,0,-36,0,1,0,0,0,0,0,0
NA1_5088774823,1723942539,14.16,19.9,Caitlyn,BOTTOM,0,1,6,7,1.33,157,7.87,350.4,379.6,17.8,50.0,0.41,1,0,117,9.8,62,0,0,7,-0.22,-1083,4,-1097,-1821,6,-1193,0,1,0,0,0,0,1,0
NA1_5088799432,1723944190,14.16,27.4,Caitlyn,BOTTOM,0,4,9,1,0.56,182,6.63,352.6,501.9,15.8,35.7,1.0,2,0,210,12.8,61,0,0,19.6,8.38,-967,8,163,-1893,4,54,0,2,0,0,0,0,0,0
NA1_5088840777,1723946192,14.16,31.5,Caitlyn,BOTTOM,0,8,7,7,2.14,207,6.58,423.7,1050.5,27.0,45.5,0.47,0,0,184,9.7,59,0,0,5,-0.32,-1497,-9,-672,-2294,-31,-1226,619.0,1,1,1,0,0,0,0
